,smi,Score,Score_bin
117,O=c1/c(=C\c2cccc(Oc3ccccc3)c2)sc2nc(-c3ccncc3)nn12,-33.66056,1
118,CO[C@@](C)(CNC(=O)Cc1c(C)noc1C)c1cccc(Cl)c1,-27.760543,0
119,CCOCCn1c2ccc(C(=O)NCc3cc(C)ccn3)cc2[nH]c1=O,-18.034366000000002,0
120,O=C(CCn1cnnn1)N1CCN(CC2CC2)[C@@H]2CS(=O)(=O)C[C@@H]21,-30.098621,1
121,CCN(CCn1cc([C@H]2CCOC2)nn1)c1cccc(C)c1,-19.599947,0
122,Cc1ccc(Cn2cc(C(=O)O)c(S(=O)(=O)N3CCCCC3)n2)cc1,-12.798953,0
123,O=C(Cc1cccs1)NCCCc1ccccc1Cl,-30.049471999999998,1
124,CC(C)Nc1c(Cl)cccc1NCc1cn2cccnc2n1,-21.014647,0
125,Cn1c2nc(S)n(CC(=O)c3ccccc3)c2c(=O)[nH]c1=O,-24.977669,0
126,CSCc1csc(NC(=O)c2ccc(N3C(=O)CCC3=O)cc2)n1,-29.609529,0
127,COc1cccc([C@H]2N=c3ccccc3=C3C(=O)N=C(SC)NN32)c1,-27.52517700000001,0
128,O=C(CNC[C@@H]1CCCN1c1cccnn1)NCCc1cccs1,-20.609918,0
129,CC(=O)N1C[C@H](C)Oc2ccc(S(=O)(=O)NCCC3=CCCCC3)cc21,-17.853291,0
130,N[C@@H]1CCN(Cc2cn(C3CCN(c4cnc5ccccc5n4)CC3)nn2)C1,-9.299757000000001,0
131,CN(C)C1CCN(c2cc([C@@H]3CCOC3)nc(NCCO)n2)CC1,2.9700439999999997,0
132,CCc1nc2cc(NC(=O)c3cc4ncccn4n3)ccc2n1CC,-22.237448,0
133,COc1ccccc1-c1nnc(SCC(=O)Nc2cc(F)ccc2C)n1C,-27.059101000000002,0
134,Cc1nccc(CNC(=O)N2CCC[C@H]2C[C@@H](O)c2ccccc2)n1,-28.291339,0
135,O=C(Nc1ccnn1C1CCCC1)N(Cc1ccccn1)C[C@@H]1CCC(=O)N1,-31.113453999999997,1
136,CCOc1ccc(S(=O)(=O)NCc2cn[nH]c2-c2cccc(OC)c2)cc1,-24.75187,0
137,O=C(Nc1ccc2c(c1)CCC2)[C@H]1CCCN(c2ncccn2)C1,-30.587821999999996,1
138,O=C(OCc1cc2c(cc1Br)OCCO2)[C@@H]1C[C@H]2CC[C@H]1O2,-18.824476,0
139,CC[C@H](NC(=O)c1cn(Cc2c(F)cccc2F)nn1)c1ccc(C)cc1,-22.800281,0
140,C[C@@H]1CCc2[nH]c3ccc(C(=O)OCC(=O)NC4CC4)cc3c2C1,-27.932346999999996,0
141,Cc1nnc(NC(=O)CN2CCN(c3ccc(F)cc3)CC2)s1,-34.967422,1
142,CC[C@@H](Oc1ccc2ccccc2c1)C(=O)NCCCN1CCCCC1,-25.948017,0
143,COC(=O)c1ccc(CN(C)c2ccccc2[N+](=O)[O-])cc1,-36.042882,1
144,C[C@H]1CCCN(c2ncnc3c2nnn3Cc2ccccc2)C1,-11.450602,0
145,O[C@@H](CSc1nnc2c(Cl)cc(Cl)cn12)c1ccccc1,-26.713696000000002,0
146,COc1cc(S(=O)(=O)NCc2cccnc2)c(Cl)cc1Cl,-29.299015,0
147,CCCNC(=O)CSc1nnc(-c2ccc(Cl)cc2)n1CC,-25.403568,0
148,NC(=O)c1ccc(Cl)c(NS(=O)(=O)c2ccc3c(c2)CCCC3)c1,-24.361432,0
149,Cc1ccc(NC(=O)CN2CCN(Cc3ccc(F)cc3)S2(=O)=O)cc1,-30.88955,1
150,Cn1c(CN2CC[C@@H](NC(=O)c3cccnc3)[C@H](O)C2)nc2ccccc21,-25.365357,0
151,Cc1nc(CNC(=O)c2cc(C3CC3)nc3ccc(F)cc32)n[nH]1,-27.691476,0
152,CCNC(=O)COc1cccc(NC(=O)c2ccc(Br)s2)c1,-28.22074000000001,0
153,O=C(NCC1CCOCC1)[C@@H]1CN(Cc2ccccc2F)Cc2cncn21,-20.110041,0
154,COCc1ccc([C@H]2CCCN2CCNS(=O)(=O)c2ccccc2)o1,-26.296484999999997,0
155,CN(C)[C@H](CNC(=O)C1Oc2ccccc2O1)c1ccc2c(c1)OCO2,-19.053889,0
156,NS(=O)(=O)c1ccc(NC(=O)N[C@H]2CC(=O)N(c3cccc(F)c3)C2)cc1,-28.424958,0
157,COc1ccc(CCCNC(=O)NCC(=O)N2CCCC2)cc1OC,-17.524416,0
158,O=C(COc1ccc(Cl)c(Cl)c1)N1CC[C@H](C(F)(F)F)[C@@H]1CO,-34.556982,1
159,COCc1cccc(C(=O)Nc2cccc(C)c2C(=O)N2CCCC2)c1,-31.385294000000002,1
160,CCNc1nc(C)cc(N2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)n1,-18.658266,0
161,O=C(NCCN1CCc2ccccc2C1)c1cn2ccccc2n1,-26.027947,0
162,Cc1cccc(C)c1-n1nnnc1C(C)(C)NCCc1ccccc1,-26.090224,0
163,O=C(CN1C(=O)[C@@H]2CC=CC[C@H]2C1=O)Nc1ccc(Br)cc1,-25.577644,0
164,O=C(Cc1cnn(-c2ccccc2)c1)Nc1cc(Cl)ccn1,-30.818279999999998,1
165,CS(=O)(=O)Nc1cc(C(=O)N2CCN(c3ccccc3)CC2)ccc1Cl,-27.112417999999998,0
166,Cc1ncc2c(n1)[C@@]1(CCN(Cc3ccc(C(C)(C)C)cc3)C1)COC2,-13.285784,0
167,CCCc1c(C(=O)Nc2cccc(F)c2)nnn1-c1ccccc1,-24.587553,0
168,Cc1nc(CNC(=O)N[C@@H](C[C@@H]2CCOC2)c2ccccc2)oc1C,-25.562092,0
169,CCOC(=O)c1[nH]c(C)c(CCC(=O)Nc2cc(OC)ccc2OC)c1C,-16.341419000000002,0
170,Clc1cccc(C2(c3nc([C@H]4CCOC4)no3)CCC2)c1,-20.305244000000002,0
171,O=C(COc1ccccc1)N[C@@H]1CCCN(Cc2ccccc2F)C1,-25.088561,0
172,CCOC(=O)CNC(=O)NCc1cccn1Cc1cccc(C)c1,-27.33515,0
173,CC[C@H](C)Cc1nc(C2CCN(CC(N)=O)CC2)n(CC(C)(C)O)n1,-23.00295,0
174,COC(=O)c1cccc(S(=O)(=O)Nc2ccccc2[C@H](O)C(F)(F)F)c1,-25.595704,0
175,Cc1cc(C)nc(NNS(=O)(=O)c2ccc(Cl)cc2F)n1,-22.728456,0
176,Cc1ccc2[nH]c([C@@H]3CC[C@@](C)(C(=O)O)C3(C)C)nc2c1,-18.559012,0
177,CS(=O)(=O)N1CCC[C@H]1C(=O)N1CCC(c2ccncn2)CC1,-21.352838000000002,0
178,CCCc1n[nH]cc1C(=O)N1CCc2[nH]nc(-c3ccccc3F)c2C1,-17.773893,0
179,C[C@H]1CN(C(=O)c2cccc(COc3ccccc3C(N)=O)c2)C[C@H](C)N1,-33.966547,1
180,Cc1nonc1CNC(=O)C1(N2CCOCC2)CCCCC1,-27.731740000000002,0
181,COC(=O)Cn1nc(Oc2nc(N(C)C)nc(N(C)C)n2)ccc1=O,-19.349832,0
182,CCN(CC)CCNC(=O)[C@H]1CCc2[nH]nc(-c3cccc(F)c3)c2C1,-15.108303,0
183,COc1ccc(S(=O)(=O)N(C)c2cc(Cl)ccc2Cl)cc1,-18.086847,0
184,C[C@@H](NC(=O)N1CCC[C@H](C(F)(F)F)C1)c1cccs1,-19.09122,0
185,CN(C)c1noc(CN(Cc2cc(F)ccc2F)C2CCCC2)n1,-18.108686,0
186,O=C(CCCNC(=O)C1CC1)Nc1nc2cc(F)c(F)cc2s1,-19.370615,0
187,Cc1noc(C)c1CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,-23.509231,0
188,Cc1cc(F)ccc1S(=O)(=O)Nc1ccc2c(c1)C(=O)N(C)CCO2,-28.791493,0
189,CCOc1ccc(CN2CCc3nnc([C@@H]4CCCN(C(C)=O)C4)n3CC2)cc1,-25.225136,0
190,O=c1[nH]c2c([nH]1)[C@@H]1c3ccccc3OC(=O)[C@@H]1[C@@H](c1ccccc1)S2,-23.027239,0
191,COC(=O)c1ccc(NC(=O)Nc2ccccc2C(=O)N2CCCC2)cc1,-27.546026,0
192,COc1ccc(C(=O)OC2C[C@@H]3CC[C@@H](C2)N3C)cc1OC,2.662361,0
